N,V,Tiempo
13,11,32.3033
13,12,33.9827
13,13,30.6206
13,14,31.2714
13,15,33.338
13,16,30.6438
13,17,32.1267
13,18,31.4716
13,19,30.5736
13,20,30.4338
13,21,30.3931
13,22,30.0111
13,23,31.414
13,24,30.408
13,25,29.2501
14,1,64.9539
14,2,66.4586
14,3,65.6487
14,4,64.6478
14,5,65.0137
14,6,63.9578
14,7,66.2382
14,8,68.8244
14,9,64.6337
14,10,62.4123
14,11,64.666
14,12,67.5186
14,13,67.6057
14,14,63.3478
14,15,66.7282
14,16,68.8312
14,17,66.2182
14,18,65.9345
14,19,63.2873
14,20,69.1935
14,21,65.1507
14,22,64.6499
14,23,61.7411
14,24,65.7758
14,25,62.6307
15,1,133.922
15,2,135.596
15,3,133.996
15,4,134.962
15,5,135.769
15,6,140.183
15,7,167.028
15,8,146.347
15,9,138.563
15,10,139.019
15,11,142.629
15,12,128.59
15,13,134.695
15,14,138.487
15,15,136.165
15,16,141.548
15,17,138.496
15,18,132.092
15,19,137.947
15,20,138.09
15,21,136.578
15,22,145.338
15,23,148.799
15,24,166.263
15,25,146.661
16,1,283.589
16,2,289.577
16,3,284.382
16,4,291.292
16,5,282.285
16,6,286.67
16,7,268.429
16,8,282.714
16,9,265.426
16,10,278.799
16,11,275.866
16,12,262.442
16,13,259.192
16,14,402.082
16,15,302.961
16,16,269.9
16,17,275.008
16,18,288.916
16,19,280.07
16,20,276.702
16,21,280.801
16,22,279.907
16,23,278.071
16,24,281.289
16,25,277.521
17,1,582.269
17,2,591.053
17,3,593.55
17,4,594.169
17,5,591.236
17,6,587.122
17,7,586.659
17,8,580.505
17,9,590.123
17,10,590.157
17,11,595.452
17,12,592.261
17,13,581.531
17,14,595.816
17,15,601.351
17,16,594.659
17,17,585.771
17,18,591.318
17,19,620.165
17,20,608.353
17,21,626.771
17,22,693.274
17,23,707.334
17,24,685.735
17,25,705.651
18,1,1475
18,2,1316.99
18,3,1294.34
18,4,1220.6
18,5,1197.89
18,6,1257.14
18,7,1242.05
18,8,1205.14
18,9,1214.18
18,10,1203.84
18,11,1230.28
18,12,1214.97
18,13,1211.54
18,14,1204.71
18,15,1224.29
18,16,1227.26
18,17,1211.51
18,18,1221.2
18,19,1208.98
18,20,1224.56
18,21,1183.89
18,22,1151.09
18,23,1196.92
18,24,1353.58
18,25,1427.6
19,1,2807.94
19,2,2714.46
19,3,2510.57
19,4,2535.33
19,5,2479.95
19,6,2580.1
19,7,2692.35
19,8,2532.94
19,9,2525.91
19,10,2528.37
19,11,2485.42
19,12,2495.16
19,13,2510.51
19,14,2546.74
19,15,2511.28
19,16,2529.66
19,17,2556.51
19,18,2544.13
19,19,2525.96
19,20,2515.33
19,21,2536.37
19,22,2545.97
19,23,2563.18
19,24,2533.54
19,25,2555.12
20,1,5147.19
20,2,4644.14
20,3,4882.11
20,4,4736.53
20,5,4311.34
20,6,4515.12
20,7,4740.72
20,8,4406.19
20,9,4319.08
20,10,4298.94
20,11,4251.11
20,12,4258.83
20,13,4406.6
20,14,4368.52
20,15,4398.39
20,16,4417.53
