N,V,Tiempo
13,11,27.4807
13,12,28.9972
13,13,26.3754
13,14,28.8419
13,15,28.6321
13,16,27.8365
13,17,29.3969
13,18,28.0397
13,19,27.342
13,20,27.7475
13,21,29.2033
13,22,28.5291
13,23,32.5228
13,24,33.4183
13,25,30.4246
14,1,67.2934
14,2,68.8061
14,3,65.285
14,4,65.5618
14,5,61.0502
14,6,67.326
14,7,71.0129
14,8,69.9877
14,9,65.703
14,10,64.9882
14,11,68.0757
14,12,71.4655
14,13,63.3864
14,14,68.459
14,15,67.2148
14,16,66.6434
14,17,61.3823
14,18,68.1327
14,19,74.6881
14,20,63.8415
14,21,86.3733
14,22,65.1665
14,23,67.3644
14,24,64.9856
14,25,65.4937
15,1,139.505
15,2,135.132
15,3,139.901
15,4,146.626
15,5,138.329
15,6,133.611
15,7,136.778
15,8,139.273
15,9,138.44
15,10,137.776
15,11,136.253
15,12,146.718
15,13,134.461
15,14,134.566
15,15,135.308
15,16,147.627
15,17,132.951
15,18,135.348
15,19,159.273
15,20,150.205
15,21,143.785
15,22,139.095
15,23,132.724
15,24,120.105
15,25,122.068
16,1,247.265
16,2,246.606
16,3,245.265
16,4,248.04
16,5,247.539
16,6,247.819
16,7,244.01
16,8,247.823
16,9,246.84
16,10,244.001
16,11,247.842
16,12,240.955
16,13,243.092
16,14,243.543
16,15,247.034
16,16,246.958
16,17,241.545
16,18,244.295
16,19,250.731
16,20,242.151
16,21,240.652
16,22,241.404
16,23,242.022
16,24,247.453
16,25,243.913
17,1,506.799
17,2,513.774
17,3,505.091
17,4,513.616
17,5,513.11
17,6,511.379
17,7,509.996
17,8,509.989
17,9,510.382
17,10,510.918
17,11,508.077
17,12,511.81
17,13,511.636
17,14,513.654
17,15,513.204
17,16,512.198
17,17,509.887
17,18,510.85
17,19,508.704
17,20,509.072
17,21,509.582
17,22,512.26
17,23,509.156
17,24,512.75
17,25,507.933
18,1,1055.31
18,2,1042.61
18,3,1045.1
18,4,1047.07
18,5,1042.94
18,6,1049.6
18,7,1052.17
18,8,1047.88
18,9,1050.31
18,10,1044.89
18,11,1045.73
18,12,1044.98
18,13,1045.38
18,14,1048.43
18,15,1045.03
18,16,1057.12
18,17,1045.84
18,18,1055.41
18,19,1047.86
18,20,1044.31
18,21,1047.26
18,22,1046.25
18,23,1046.01
18,24,1047.28
18,25,1051.52
19,1,2145.69
19,2,2137.07
19,3,2146.44
19,4,2151.24
19,5,2148.36
19,6,2134.6
19,7,2141.82
19,8,2143.26
19,9,2130.18
19,10,2141.22
19,11,2156.31
19,12,2137.64
19,13,2142.55
19,14,2136.81
19,15,2141.96
19,16,2136.16
19,17,2133.08
19,18,2143.54
19,19,2146.93
19,20,2133.11
19,21,2805.47
19,22,2153.62
19,23,2134.54
19,24,2145.98
19,25,2138.94
20,1,4457.29
20,2,4480.68
20,3,4471.26
20,4,4501.46
20,5,4476.54
20,6,4487.29
20,7,4470.87
20,8,4470.34
20,9,4493.66
20,10,4477.1
20,11,4484.17
20,12,4483.52
20,13,4469.34
20,14,4494.27
20,15,4489.26
20,16,4478.77
20,17,4472.98
20,18,4482.22
20,19,4481.74
20,20,4488.95
20,21,4492.7
20,22,4499.58
20,23,4494.79
20,24,4470.98
20,25,4479.31
21,1,9042.69
21,2,9052.26
21,3,9026.46
21,4,9093.68
21,5,9041.72
21,6,9007.93
21,7,9025.03
21,8,9030.28
21,9,9018.31
21,10,8923.06
21,11,8950.87
21,12,9028.95
21,13,9006.45
21,14,9064.22
21,15,8780.98
21,16,9013.99
21,17,8932.59
21,18,8981.31
21,19,9024.03
21,20,9024.04
21,21,9041.11
21,22,9044.12
21,23,9023.07
21,24,9021.98
21,25,9023.56
22,1,19148.2
22,2,19251.8
22,3,18867.5
22,4,18903.2
22,5,19180.8
22,6,19027.3
22,7,19284.7
22,8,19224.3
22,9,19326.8
22,10,19230.8
22,11,19164.2
22,12,19219.3
22,13,19200.7
22,14,19200.3
22,15,19194
22,16,19148
22,17,19170.8
22,18,19185.8
22,19,19119
22,20,19087.8
22,21,19181.6
22,22,19428.2
22,23,19391.4
22,24,19125.4
22,25,19156.5
23,1,47052.9
23,2,46988.4
23,3,46917.9
23,4,46842.2
23,5,46869.9
23,6,46900.8
23,7,46586.6
23,8,46883.7
23,9,46955.6
23,10,46881.7
23,11,46916.3
23,12,46974.8
23,13,46696.6
23,14,47135
23,15,49529.7
23,16,46886.5
23,17,46941.8
23,18,46868.5
23,19,46977.7
23,20,47166.9
23,21,47148.3
23,22,46613.3
23,23,46943.6
23,24,46911.6
23,25,46807
24,1,84836.2
24,2,85024.1
24,3,84304.4
24,4,85054.1
24,5,84987.9
24,6,84557.3
24,7,84739.1
24,8,85333.7
24,9,85080.9
24,10,84939.2
24,11,84894.9
24,12,84632.2
24,13,85182.2
24,14,84998.6
24,15,85018.3
24,16,85079.5
24,17,85089.2
24,18,85005.6
24,19,84908.3
24,20,85710.4
24,21,85110.2
24,22,85909.6
24,23,85118.3
24,24,84939.1
24,25,84869.9
25,1,162236
25,2,162458
25,3,162571
25,4,162270
25,5,162488
25,6,162697
25,7,162595
25,8,163444
25,9,162298
25,10,160752
25,11,162108
25,12,162383
25,13,162146
25,14,162252
25,15,163387
25,16,162272
25,17,162107
25,18,162728
25,19,162204
25,20,164509
25,21,162271
25,22,161171
25,23,162229
25,24,164072
25,25,163025
