N,V,Tiempo
16,51,0.027837
16,56,0.03856
16,61,0.029642
16,66,0.041201
16,71,0.025521
16,76,0.044201
16,81,0.027089
16,86,0.039152
16,91,0.047302
16,96,0.075275
16,101,0.05173
16,106,0.05827
16,111,0.036017
16,116,0.166385
16,121,0.09831
16,126,0.106575
16,131,0.107014
16,136,0.068404
16,141,0.042519
16,146,0.06849
16,151,0.082177
16,156,0.204066
16,161,0.150956
16,166,0.158087
16,171,0.113621
16,176,0.150933
16,181,0.125618
16,186,0.261792
16,191,0.35368
16,196,0.128476
16,201,0.241171
16,206,0.302747
16,211,0.265485
16,216,0.148021
16,221,0.259245
16,226,0.249697
16,231,0.270583
16,236,0.192876
16,241,0.219903
16,246,0.204506
16,251,0.237591
16,256,0.259015
16,261,0.330693
16,266,0.26528
16,271,0.223863
16,276,0.22857
16,281,0.316959
16,286,0.333614
16,291,0.487714
16,296,0.219777
16,301,0.231753
16,306,0.341438
16,311,0.345823
16,316,0.422399
16,321,0.277465
16,326,0.262945
16,331,0.459621
16,336,0.357546
16,341,0.310903
16,346,0.446737
16,351,0.486763
16,356,0.353037
16,361,0.562114
16,366,0.461799
16,371,0.322383
16,376,0.359748
16,381,0.334914
16,386,0.495652
16,391,0.357466
16,396,0.371604
16,401,0.363672
16,406,0.652429
16,411,0.397522
16,416,0.340493
16,421,0.434095
16,426,0.524629
16,431,0.336788
16,436,0.617473
16,441,0.552192
16,446,0.386843
16,451,0.484463
16,456,0.583509
16,461,0.423587
16,466,0.433569
16,471,0.531971
16,476,0.50188
16,481,0.782226
16,486,0.769092
16,491,0.666604
16,496,0.489155
21,1,0.005998
21,6,0.007939
21,11,0.012553
21,16,0.024264
21,21,0.051968
21,26,0.042065
21,31,0.025828
21,36,0.01683
21,41,0.083118
21,46,0.036296
21,51,0.037084
21,56,0.068536
21,61,0.090664
21,66,0.030825
21,71,0.041603
21,76,0.042823
21,81,0.177833
21,86,0.100178
21,91,0.098488
21,96,0.118912
21,101,0.104026
21,106,0.083204
21,111,0.100169
21,116,0.110797
21,121,0.258958
21,126,0.169874
21,131,0.287916
21,136,0.170415
21,141,0.33814
21,146,0.258865
21,151,0.430587
21,156,0.379924
21,161,0.373375
21,166,0.433045
21,171,0.462441
21,176,0.434141
21,181,0.358204
21,186,0.234634
21,191,0.49477
21,196,0.286133
21,201,0.383593
21,206,0.525382
21,211,0.542741
21,216,0.497355
21,221,0.526399
21,226,0.426696
21,231,0.47362
21,236,0.630255
21,241,0.541522
21,246,0.5555
21,251,0.575585
21,256,0.777086
21,261,0.76916
21,266,0.576628
21,271,0.450298
21,276,0.618599
21,281,0.657791
21,286,0.729877
21,291,0.685158
21,296,0.787465
21,301,0.796315
21,306,0.661611
21,311,0.767568
21,316,0.513622
21,321,0.90028
21,326,0.707469
21,331,0.651076
21,336,0.605724
21,341,0.652852
21,346,1.31754
21,351,1.10579
21,356,1.00643
21,361,0.601554
21,366,0.65841
21,371,0.698099
21,376,0.576016
21,381,0.845924
21,386,0.730688
21,391,1.07242
21,396,1.1005
21,401,1.08415
21,406,1.09877
21,411,1.0658
21,416,1.04072
21,421,1.01072
21,426,1.34342
21,431,1.00407
21,436,0.763949
21,441,0.753527
21,446,0.787384
21,451,0.77406
21,456,0.778876
21,461,0.802376
21,466,0.888446
21,471,1.14454
21,476,0.800694
21,481,0.927773
21,486,0.991634
21,491,0.887651
21,496,0.846828
26,1,0.008122
26,6,0.011021
26,11,0.0113
26,16,0.023702
26,21,0.018194
26,26,0.015958
26,31,0.024622
26,36,0.051226
26,41,0.030153
26,46,0.057512
26,51,0.090954
26,56,0.093019
26,61,0.206411
26,66,0.108464
26,71,0.170579
26,76,0.221183
26,81,0.150683
26,86,0.24008
26,91,0.34145
26,96,0.164868
26,101,0.320604
26,106,0.4598
26,111,0.297283
26,116,0.290954
26,121,0.224241
26,126,0.299214
26,131,0.256213
26,136,0.32678
26,141,0.245214
26,146,0.207424
26,151,0.269734
26,156,0.311864
26,161,0.395992
26,166,0.295647
26,171,0.499207
26,176,0.582099
26,181,0.357236
26,186,0.392792
26,191,0.544265
26,196,0.539856
26,201,0.508867
26,206,0.529512
26,211,0.734413
26,216,0.329566
26,221,0.575891
26,226,0.532476
26,231,0.615198
26,236,0.835498
26,241,0.597972
26,246,0.615977
26,251,0.715999
26,256,0.608542
26,261,0.635768
26,266,0.815685
26,271,0.772418
26,276,0.635603
26,281,1.04667
26,286,0.702759
26,291,1.24079
26,296,0.713516
26,301,0.940303
26,306,1.23367
26,311,1.38538
26,316,0.973501
26,321,0.948741
26,326,0.92165
26,331,0.945583
26,336,1.09574
26,341,0.823136
26,346,0.984956
26,351,1.42714
26,356,1.40697
26,361,1.17968
26,366,1.21693
26,371,1.24585
26,376,0.892099
26,381,0.891185
26,386,0.993256
26,391,1.50826
26,396,1.08244
26,401,1.103
26,406,1.2334
26,411,1.09697
26,416,1.00389
26,421,1.06454
26,426,1.37932
26,431,1.78363
26,436,1.57861
26,441,1.90478
26,446,1.8233
26,451,1.40046
26,456,1.14684
26,461,1.18498
26,466,1.05431
26,471,1.19011
26,476,1.10234
26,481,1.20267
26,486,1.23223
26,491,1.21547
26,496,1.1592
31,1,0.010534
31,6,0.010031
31,11,0.01469
31,16,0.040777
31,21,0.053636
31,26,0.048702
31,31,0.042934
31,36,0.046068
31,41,0.04552
31,46,0.133272
31,51,0.14522
31,56,0.09821
31,61,0.115496
