n,V,resultado,tiempo (backtracking)
0,110,-1,0.0109
0,110,-1,0.010013
0,110,-1,0.011825
0,110,-1,0.009688
0,110,-1,0.010363
0,110,-1,0.010475
0,110,-1,0.010525
0,120,-1,0.010638
0,120,-1,0.009438
0,120,-1,0.00955
0,120,-1,0.009663
0,120,-1,0.432369
0,120,-1,0.011488
0,120,-1,0.151378
0,120,-1,0.009662
0,120,-1,0.01125
0,120,-1,0.010025
0,120,-1,0.01005
0,120,-1,0.010237
0,120,-1,0.009501
0,120,-1,0.011425
0,120,-1,0.010138
0,120,-1,0.014663
0,120,-1,0.009413
0,120,-1,0.010512
0,120,-1,0.010038
0,120,-1,0.009988
0,130,-1,0.00995
0,130,-1,0.010463
0,130,-1,0.011662
0,130,-1,0.009988
0,130,-1,0.009112
0,130,-1,0.010388
0,130,-1,0.01
0,130,-1,0.010487
0,130,-1,0.0102
0,130,-1,0.009838
0,130,-1,0.009913
0,130,-1,0.010713
0,130,-1,0.0099
0,130,-1,0.010638
0,130,-1,0.010525
0,130,-1,0.010663
0,130,-1,0.010375
0,130,-1,0.010038
0,130,-1,0.010326
0,130,-1,0.010163
0,140,-1,0.009875
0,140,-1,0.010087
0,140,-1,0.010688
0,140,-1,0.009838
0,140,-1,0.010463
0,140,-1,0.010687
0,140,-1,0.010138
0,140,-1,0.010038
0,140,-1,0.010187
0,140,-1,0.009512
0,140,-1,0.010801
0,140,-1,0.0101
0,140,-1,0.010263
0,140,-1,0.010438
0,140,-1,0.00985
0,140,-1,0.009988
0,140,-1,0.010601
0,140,-1,0.010413
0,140,-1,0.011113
0,140,-1,0.00975
0,150,-1,0.010237
0,150,-1,0.010525
0,150,-1,0.009651
0,150,-1,0.010688
0,150,-1,0.010138
0,150,-1,0.010312
0,150,-1,0.010288
0,150,-1,0.010025
0,150,-1,0.009838
0,150,-1,0.009613
0,150,-1,0.0106
0,150,-1,0.010837
0,150,-1,0.0102
0,150,-1,0.012887
0,150,-1,0.010063
0,150,-1,0.011275
0,150,-1,0.010813
0,150,-1,0.014575
0,150,-1,0.009975
0,150,-1,0.010738
0,160,-1,0.010175
0,160,-1,0.010875
0,160,-1,0.010175
0,160,-1,0.009388
0,160,-1,0.010401
0,160,-1,0.010187
0,160,-1,0.00865
0,160,-1,0.010476
0,160,-1,0.010125
0,160,-1,0.010062
0,160,-1,0.010775
0,160,-1,0.009763
0,160,-1,0.010425
0,160,-1,0.010225
0,160,-1,0.010138
0,160,-1,0.009888
0,160,-1,0.011125
0,160,-1,0.063313
0,160,-1,0.009888
0,160,-1,0.009613
0,170,-1,0.01055
0,170,-1,0.009925
0,170,-1,0.010075
0,170,-1,0.009813
0,170,-1,0.0104
0,170,-1,0.009551
0,170,-1,0.011725
0,170,-1,0.009501
0,170,-1,0.010663
0,170,-1,0.010225
0,170,-1,0.010551
0,170,-1,0.011225
0,170,-1,0.011263
0,170,-1,0.010238
0,170,-1,0.011038
0,170,-1,0.0096
0,170,-1,0.01065
0,170,-1,0.010775
0,170,-1,0.010888
0,170,-1,0.010163
0,180,-1,0.010675
0,180,-1,0.011663
0,180,-1,0.010088
0,180,-1,0.009726
0,180,-1,0.00945
0,180,-1,0.009588
0,180,-1,0.0102
0,180,-1,0.009925
0,180,-1,0.0097
0,180,-1,0.009737
0,180,-1,0.0109
0,180,-1,0.010388
0,180,-1,0.011138
0,180,-1,0.012813
0,180,-1,0.01025
0,180,-1,0.010175
0,180,-1,0.010187
0,180,-1,0.009501
0,180,-1,0.010112
0,180,-1,0.01
0,190,-1,0.010912
0,190,-1,0.00965
0,190,-1,0.010125
0,190,-1,0.009688
0,190,-1,0.010363
0,190,-1,0.009988
0,190,-1,0.010337
0,190,-1,0.012825
0,190,-1,0.009775
0,190,-1,0.010363
0,190,-1,0.009863
0,190,-1,0.010087
0,190,-1,0.010113
0,190,-1,0.010638
0,190,-1,0.010813
0,190,-1,0.009988
0,190,-1,0.009875
0,190,-1,0.01165
0,190,-1,0.011513
0,190,-1,0.011212
0,200,-1,0.011
0,200,-1,0.010238
0,200,-1,0.009825
0,200,-1,0.081002
0,200,-1,0.011512
0,200,-1,0.00955
0,200,-1,0.0103
0,200,-1,0.009475
0,200,-1,0.011837
0,200,-1,0.010613
0,200,-1,0.009675
0,200,-1,0.010675
0,200,-1,0.009212
0,200,-1,0.009988
0,200,-1,0.010187
0,200,-1,0.0102
0,200,-1,0.010188
0,200,-1,0.009413
0,200,-1,0.010825
0,200,-1,0.009725
1,0,0,0.015012
1,0,0,0.025113
1,0,0,0.022825
1,0,0,0.022388
1,0,0,0.016087
1,0,0,0.020976
1,0,0,0.015588
1,0,0,0.0203
1,0,0,0.015525
1,0,0,0.02145
1,0,0,0.0212
1,0,0,0.022238
1,0,0,0.017962
1,0,0,0.014425
1,0,0,0.02135
1,0,0,0.0258
1,0,0,0.014513
1,0,0,0.023562
1,0,0,0.01995
1,0,0,0.016251
1,10,-1,0.020213
1,10,-1,0.01975
1,10,-1,0.017951
1,10,-1,0.021225
1,10,-1,0.020801
1,10,-1,0.725062
1,10,-1,0.018225
1,10,-1,0.018013
1,10,-1,0.014313
1,10,-1,0.019838
1,10,-1,0.018876
1,10,-1,0.021138
1,10,-1,0.022351
1,10,-1,0.018901
1,10,-1,0.022625
1,10,-1,0.019438
1,10,-1,0.0211
1,10,-1,1.66087
1,10,-1,0.0139
1,10,-1,0.022875
1,20,-1,0.019613
1,20,-1,0.014688
1,20,-1,0.019651
1,20,-1,0.014326
1,20,-1,0.014675
1,20,-1,0.018975
1,20,-1,0.019125
1,20,-1,0.014125
1,20,-1,0.024675
1,20,-1,0.014425
1,20,-1,0.019201
1,20,-1,0.020138
1,20,-1,0.0188
1,20,-1,0.014975
1,20,-1,0.022712
1,20,-1,0.013725
1,20,-1,0.014487
1,20,-1,0.023363
1,20,-1,0.021475
1,20,-1,0.020813
1,30,1,0.020813
1,30,1,0.014301
1,30,1,0.076926
1,30,1,0.014025
1,30,1,0.022913
1,30,1,0.014062
1,30,1,0.014188
1,30,1,0.01395
1,30,1,0.023225
1,30,1,0.013863
1,30,1,0.022063
1,30,1,0.023738
1,30,1,0.013825
1,30,1,0.014576
1,30,1,0.014912
1,30,1,0.023601
1,30,1,0.017675
1,30,1,0.020888
1,30,1,0.0146
1,30,1,0.021538
1,40,-1,0.024075
1,40,-1,0.014138
1,40,-1,0.028213
1,40,-1,0.014588
1,40,-1,0.014713
1,40,-1,0.018538
1,40,-1,0.018013
1,40,-1,0.083651
1,40,-1,0.014413
1,40,-1,0.025613
1,40,-1,0.0184
1,40,-1,0.013925
1,40,-1,0.035926
1,40,-1,0.014613
1,40,-1,0.017688
1,40,-1,0.015101
1,40,-1,0.021138
1,40,-1,0.014138
1,40,-1,0.015238
1,40,-1,0.016975
1,50,-1,0.017638
1,50,-1,0.018125
1,50,-1,0.019713
1,50,-1,0.013901
1,50,-1,0.022551
1,50,-1,0.016238
1,50,-1,0.021676
1,50,-1,0.015488
1,50,-1,0.01445
1,50,-1,0.014387
1,50,-1,0.021326
1,50,-1,0.036201
1,50,-1,0.014725
1,50,-1,0.014212
1,50,-1,0.013937
1,50,-1,0.014263
1,50,-1,0.018463
1,50,-1,0.020538
1,50,-1,0.018501
1,50,-1,0.013525
1,60,-1,0.020351
1,60,-1,0.01575
1,60,-1,0.023688
1,60,-1,0.014225
1,60,-1,0.015888
1,60,-1,0.014088
1,60,-1,0.016888
1,60,-1,0.019925
1,60,-1,0.019113
1,60,-1,0.016963
1,60,-1,0.023525
1,60,-1,0.015362
1,60,-1,0.019963
1,60,-1,0.020963
1,60,-1,0.01925
1,60,-1,0.0197
1,60,-1,0.019613
1,60,-1,0.015188
1,60,-1,0.0215
1,60,-1,0.024113
1,70,-1,0.020426
1,70,-1,0.018
1,70,-1,0.0238
1,70,-1,0.014525
1,70,-1,0.021113
1,70,-1,0.019651
1,70,-1,0.014563
1,70,-1,0.025438
1,70,-1,0.02075
1,70,-1,0.018413
1,70,-1,0.02065
1,70,-1,0.01845
1,70,-1,0.013362
1,70,-1,0.021463
1,70,-1,0.017563
1,70,-1,0.016751
1,70,-1,0.017275
1,70,-1,0.022676
1,70,-1,0.021338
1,70,-1,0.024813
1,80,-1,0.027026
1,80,-1,0.014126
1,80,-1,0.021913
1,80,-1,0.016951
1,80,-1,0.015038
1,80,-1,0.014
1,80,-1,0.018438
1,80,-1,0.022875
1,80,-1,0.017238
1,80,-1,0.018375
1,80,-1,0.01365
1,80,-1,0.014376
1,80,-1,0.01805
1,80,-1,0.023088
1,80,-1,0.021175
1,80,-1,0.014013
1,80,-1,0.014325
1,80,-1,0.014025
1,80,-1,0.025875
1,80,-1,0.018688
1,90,-1,0.019276
1,90,-1,0.01575
1,90,-1,0.020613
1,90,-1,0.018325
1,90,-1,0.017887
1,90,-1,0.014151
1,90,-1,0.019113
1,90,-1,0.013876
1,90,-1,0.014413
1,90,-1,0.0132
1,90,-1,0.014412
1,90,-1,0.021612
1,90,-1,0.020288
1,90,-1,0.017387
1,90,-1,0.014676
1,90,-1,0.025288
1,90,-1,0.019688
1,90,-1,0.02145
1,90,-1,0.022488
1,90,-1,0.014363
1,100,-1,0.021113
1,100,-1,0.021788
1,100,-1,0.02275
1,100,-1,0.0195
1,100,-1,0.018238
1,100,-1,0.023076
1,100,-1,0.01805
1,100,-1,0.020751
1,100,-1,0.019838
1,100,-1,0.019551
1,100,-1,0.013575
1,100,-1,0.019775
1,100,-1,0.017013
1,100,-1,0.018063
1,100,-1,0.014863
1,100,-1,0.01915
1,100,-1,0.016088
1,100,-1,0.014113
1,100,-1,0.026413
1,100,-1,0.019188
1,110,-1,0.021976
1,110,-1,0.019525
1,110,-1,0.013801
1,110,-1,0.014425
1,110,-1,0.019688
1,110,-1,0.014862
1,110,-1,0.017951
1,110,-1,0.01785
1,110,-1,0.020688
1,110,-1,0.021076
1,110,-1,0.017876
1,110,-1,0.018162
1,110,-1,0.021262
1,110,-1,0.019225
1,110,-1,0.0161
1,110,-1,0.022251
1,110,-1,0.015587
1,110,-1,0.015525
1,110,-1,0.014613
1,110,-1,0.020925
1,120,-1,0.014113
1,120,-1,0.016038
1,120,-1,0.018225
1,120,-1,0.021438
1,120,-1,0.018475
1,120,-1,0.018175
1,120,-1,0.021837
1,120,-1,0.014712
1,120,-1,0.014176
1,120,-1,0.024101
1,120,-1,0.015488
1,120,-1,0.019175
1,120,-1,0.021213
1,120,-1,0.022738
1,120,-1,0.022213
1,120,-1,0.022675
1,120,-1,0.015188
1,120,-1,0.027563
1,120,-1,0.015538
1,120,-1,0.023613
1,130,-1,0.021787
1,130,-1,0.018988
1,130,-1,0.018212
1,130,-1,0.021851
1,130,-1,0.01835
1,130,-1,0.021501
1,130,-1,0.014775
1,130,-1,0.024763
1,130,-1,0.02145
1,130,-1,0.020963
1,130,-1,0.024038
1,130,-1,0.0142
1,130,-1,0.018726
1,130,-1,0.01315
1,130,-1,0.01825
1,130,-1,0.0135
1,130,-1,0.013626
1,130,-1,0.014338
1,130,-1,0.019051
1,130,-1,0.014576
1,140,-1,0.0255
1,140,-1,0.014475
1,140,-1,0.018675
1,140,-1,0.016238
1,140,-1,0.017975
1,140,-1,0.018301
1,140,-1,0.016288
1,140,-1,0.015888
1,140,-1,0.022313
1,140,-1,0.023063
1,140,-1,0.027413
1,140,-1,0.024513
1,140,-1,0.018738
1,140,-1,0.013938
1,140,-1,0.014575
1,140,-1,0.01385
1,140,-1,0.017887
1,140,-1,0.018713
1,140,-1,0.013913
1,140,-1,0.021275
1,150,-1,0.0182
1,150,-1,0.020613
1,150,-1,0.0224
1,150,-1,0.025488
1,150,-1,0.01385
1,150,-1,0.01605
1,150,-1,0.022587
1,150,-1,0.013975
1,150,-1,0.022613
1,150,-1,0.014125
1,150,-1,0.015462
1,150,-1,0.015913
1,150,-1,0.018125
1,150,-1,0.02105
1,150,-1,0.02135
1,150,-1,0.020913
1,150,-1,0.019788
1,150,-1,0.0144
1,150,-1,0.01405
1,150,-1,0.021
1,160,-1,0.02395
1,160,-1,0.022113
1,160,-1,0.022975
1,160,-1,0.022263
1,160,-1,0.021463
1,160,-1,0.020051
1,160,-1,0.021613
1,160,-1,0.018988
1,160,-1,0.017337
1,160,-1,0.015626
1,160,-1,0.018963
1,160,-1,0.0142
1,160,-1,0.023462
1,160,-1,0.02105
1,160,-1,0.014288
1,160,-1,0.023613
1,160,-1,0.015213
1,160,-1,0.02805
1,160,-1,0.021988
1,160,-1,0.024413
1,170,-1,0.01665
1,170,-1,0.017325
1,170,-1,0.014426
1,170,-1,0.013975
1,170,-1,0.0147
1,170,-1,0.021126
1,170,-1,0.016062
1,170,-1,0.014301
1,170,-1,0.017438
1,170,-1,0.0206
1,170,-1,0.020325
1,170,-1,0.023713
1,170,-1,0.024113
