n,V,resultado,tiempo
1,110,-1,0.0198
1,110,-1,0.012437
1,110,-1,0.012188
1,110,-1,0.019388
1,110,-1,0.0187
1,110,-1,0.024
1,120,-1,0.024038
1,120,-1,0.023313
1,120,-1,0.022675
1,120,-1,0.019363
1,120,-1,0.020301
1,120,-1,0.0194
1,120,-1,0.017263
1,120,-1,0.012538
1,120,-1,0.0198
1,120,-1,0.011975
1,120,-1,0.022988
1,120,-1,0.019138
1,120,-1,0.011938
1,120,-1,0.015638
1,120,-1,0.019475
1,120,-1,0.0189
1,120,-1,0.013638
1,120,-1,0.023338
1,120,-1,0.023688
1,120,-1,0.023888
1,130,-1,0.012476
1,130,-1,0.02245
1,130,-1,0.018588
1,130,-1,0.017113
1,130,-1,0.018737
1,130,-1,0.020688
1,130,-1,0.0126
1,130,-1,0.012075
1,130,-1,0.019137
1,130,-1,0.0124
1,130,-1,0.022738
1,130,-1,0.015188
1,130,-1,0.024188
1,130,-1,0.02195
1,130,-1,0.022613
1,130,-1,0.016025
1,130,-1,0.024738
1,130,-1,0.023675
1,130,-1,0.01685
1,130,-1,0.012237
1,140,-1,0.012238
1,140,-1,0.024688
1,140,-1,0.0214
1,140,-1,0.0236
1,140,-1,0.021687
1,140,-1,0.020187
1,140,-1,0.018888
1,140,-1,0.02165
1,140,-1,0.021701
1,140,-1,0.020625
1,140,-1,0.016963
1,140,-1,0.01675
1,140,-1,0.020288
1,140,-1,0.025001
1,140,-1,0.026875
1,140,-1,0.014825
1,140,-1,0.023526
1,140,-1,0.013975
1,140,-1,0.012625
1,140,-1,0.021776
1,150,-1,0.028188
1,150,-1,0.0153
1,150,-1,0.020876
1,150,-1,0.018387
1,150,-1,0.016238
1,150,-1,0.012813
1,150,-1,0.013026
1,150,-1,0.019051
1,150,-1,0.016275
1,150,-1,0.037763
1,150,-1,0.013213
1,150,-1,0.017501
1,150,-1,0.024413
1,150,-1,0.012775
1,150,-1,0.020963
1,150,-1,0.026426
1,150,-1,0.012401
1,150,-1,0.021701
1,150,-1,0.0281
1,150,-1,0.017101
1,160,-1,0.018188
1,160,-1,0.0122
1,160,-1,0.017487
1,160,-1,0.021525
1,160,-1,0.0215
1,160,-1,0.01995
1,160,-1,0.014126
1,160,-1,0.019401
1,160,-1,0.021725
1,160,-1,0.014575
1,160,-1,0.0226
1,160,-1,0.014676
1,160,-1,0.0143
1,160,-1,0.017538
1,160,-1,0.018701
1,160,-1,0.018538
1,160,-1,0.018863
1,160,-1,0.015188
1,160,-1,0.019725
1,160,-1,0.019013
1,170,-1,0.013238
1,170,-1,0.019425
1,170,-1,0.022962
1,170,-1,0.013125
1,170,-1,0.013462
1,170,-1,0.012425
1,170,-1,0.019476
1,170,-1,0.016463
1,170,-1,0.0127
1,170,-1,0.014738
1,170,-1,0.019675
1,170,-1,0.016313
1,170,-1,0.025438
1,170,-1,0.016837
1,170,-1,0.022526
1,170,-1,0.012488
1,170,-1,0.016775
1,170,-1,0.021263
1,170,-1,0.018875
1,170,-1,0.013576
1,180,-1,0.023825
1,180,-1,0.015313
1,180,-1,0.022575
1,180,-1,0.019988
1,180,-1,0.014476
1,180,-1,0.020025
1,180,-1,0.01835
1,180,-1,0.016075
1,180,-1,0.024863
1,180,-1,0.014751
1,180,-1,0.015662
1,180,-1,0.019138
1,180,-1,0.02545
1,180,-1,0.013175
1,180,-1,0.018237
1,180,-1,0.01815
1,180,-1,0.019675
1,180,-1,1.07915
1,180,-1,0.022788
1,180,-1,0.020238
1,190,-1,0.020976
1,190,-1,0.01665
1,190,-1,0.017551
1,190,-1,0.020751
1,190,-1,0.016938
1,190,-1,0.021713
1,190,-1,0.014487
1,190,-1,0.024638
1,190,-1,0.020613
1,190,-1,0.025751
1,190,-1,0.013
1,190,-1,0.025163
1,190,-1,0.022475
1,190,-1,0.01375
1,190,-1,0.01385
1,190,-1,0.019638
1,190,-1,0.015387
1,190,-1,0.021338
1,190,-1,0.013451
1,190,-1,0.012887
1,200,-1,0.020651
1,200,-1,0.012537
1,200,-1,0.021888
1,200,-1,0.027101
1,200,-1,0.013588
1,200,-1,0.019413
1,200,-1,0.019775
1,200,-1,0.012238
1,200,-1,0.01645
1,200,-1,0.01505
1,200,-1,0.017325
1,200,-1,0.014488
1,200,-1,0.022638
1,200,-1,0.012688
1,200,-1,0.020338
1,200,-1,0.0133
1,200,-1,0.013638
1,200,-1,0.022925
1,200,-1,0.013512
1,200,-1,0.012663
2,0,0,0.019725
2,0,0,0.039851
2,0,0,0.027738
2,0,0,0.018012
2,0,0,0.027551
2,0,0,0.018075
2,0,0,0.021526
2,0,0,0.033238
2,0,0,0.029463
2,0,0,0.027438
2,0,0,0.0232
2,0,0,0.0259
2,0,0,0.023076
2,0,0,0.02155
2,0,0,0.029576
2,0,0,0.025188
2,0,0,0.023563
2,0,0,0.018187
2,0,0,0.024126
2,0,0,0.018213
2,10,1,0.026438
2,10,1,0.019863
2,10,1,0.024101
2,10,1,0.035838
2,10,1,0.021488
2,10,1,0.0241
2,10,1,0.020863
2,10,1,0.050513
2,10,1,0.021762
2,10,1,0.037138
2,10,1,0.027363
2,10,1,0.030776
2,10,1,0.022875
2,10,1,0.0201
2,10,1,0.023313
2,10,1,0.019726
2,10,1,0.021
2,10,1,0.024763
2,10,1,0.027988
2,10,1,0.025713
2,20,-1,0.024851
2,20,-1,0.027025
2,20,-1,0.0226
2,20,-1,0.02195
2,20,-1,0.01835
2,20,-1,0.024275
2,20,-1,0.023938
2,20,-1,0.018425
2,20,-1,0.021525
2,20,-1,0.017901
2,20,-1,0.019901
2,20,-1,0.018075
2,20,-1,0.018025
2,20,-1,0.030813
2,20,-1,0.018688
2,20,-1,0.018313
2,20,-1,0.024613
2,20,-1,0.024513
2,20,-1,0.024625
2,20,-1,0.018463
2,30,2,0.024963
2,30,2,0.018225
2,30,2,0.0269
2,30,2,0.026675
2,30,2,0.024912
2,30,2,0.017913
2,30,2,0.020251
2,30,2,0.025963
2,30,2,0.018725
2,30,2,0.025575
2,30,2,0.017388
2,30,2,0.024275
2,30,2,0.0178
2,30,2,0.022488
2,30,2,0.025313
2,30,2,0.017563
2,30,2,0.024613
2,30,2,0.024525
2,30,2,0.02595
2,30,2,0.030451
2,40,-1,0.018225
2,40,-1,0.026213
2,40,-1,0.019313
2,40,-1,0.025438
2,40,-1,0.021913
2,40,-1,0.017975
2,40,-1,0.019138
2,40,-1,0.0185
2,40,-1,0.033113
2,40,-1,0.024425
2,40,-1,0.020263
2,40,-1,0.026588
2,40,-1,0.022712
2,40,-1,0.027188
2,40,-1,0.025825
2,40,-1,0.035363
2,40,-1,0.017675
2,40,-1,0.022138
2,40,-1,0.032263
2,40,-1,0.019938
2,50,-1,0.021875
2,50,-1,0.022787
2,50,-1,0.022526
2,50,-1,0.019351
2,50,-1,0.027963
2,50,-1,0.028338
2,50,-1,0.028475
2,50,-1,0.017388
2,50,-1,0.017938
2,50,-1,0.018088
2,50,-1,0.024625
2,50,-1,0.018313
2,50,-1,0.017637
2,50,-1,0.017738
2,50,-1,0.018175
2,50,-1,0.024188
2,50,-1,0.028063
2,50,-1,0.017488
2,50,-1,0.018425
2,50,-1,0.017525
2,60,-1,0.024551
2,60,-1,0.02155
2,60,-1,0.024813
2,60,-1,0.018213
2,60,-1,0.0206
2,60,-1,0.0179
2,60,-1,0.025076
2,60,-1,0.025351
2,60,-1,0.023176
2,60,-1,0.027388
2,60,-1,0.043725
2,60,-1,0.02535
2,60,-1,0.030113
2,60,-1,0.0298
2,60,-1,0.028201
2,60,-1,0.027
2,60,-1,0.026501
2,60,-1,0.026176
2,60,-1,0.026438
2,60,-1,0.026938
2,70,-1,0.019213
2,70,-1,0.022876
2,70,-1,0.023238
2,70,-1,0.068538
2,70,-1,0.025588
2,70,-1,0.022051
2,70,-1,0.0217
2,70,-1,0.021462
2,70,-1,0.0248
2,70,-1,0.0226
2,70,-1,0.01755
2,70,-1,0.019687
2,70,-1,0.026576
2,70,-1,0.0249
2,70,-1,0.018012
2,70,-1,0.029751
2,70,-1,0.022738
2,70,-1,0.0175
2,70,-1,0.031488
2,70,-1,0.017938
2,80,-1,0.022626
2,80,-1,0.023175
2,80,-1,0.0221
2,80,-1,0.0176
2,80,-1,0.018301
2,80,-1,0.024675
2,80,-1,0.018026
2,80,-1,0.024926
2,80,-1,0.024701
2,80,-1,0.024626
2,80,-1,0.022238
2,80,-1,0.022013
2,80,-1,0.017188
2,80,-1,0.017226
2,80,-1,0.017713
2,80,-1,0.017825
2,80,-1,0.021613
2,80,-1,0.01815
2,80,-1,0.023487
2,80,-1,0.021937
2,90,-1,0.021075
2,90,-1,0.021638
2,90,-1,0.028138
2,90,-1,0.019338
2,90,-1,0.024913
2,90,-1,0.028626
2,90,-1,0.030663
2,90,-1,0.020088
2,90,-1,0.02845
2,90,-1,0.026051
2,90,-1,0.023738
2,90,-1,0.028851
2,90,-1,0.0208
2,90,-1,0.024251
2,90,-1,0.026538
2,90,-1,0.021488
2,90,-1,0.021063
2,90,-1,0.023275
2,90,-1,0.028951
2,90,-1,0.031276
2,100,-1,0.029325
2,100,-1,0.0202
2,100,-1,0.030013
2,100,-1,0.021825
2,100,-1,0.02275
2,100,-1,0.029025
2,100,-1,0.024925
2,100,-1,0.039713
2,100,-1,0.03195
2,100,-1,0.130715
2,100,-1,0.0202
2,100,-1,0.030513
2,100,-1,0.0205
2,100,-1,0.026475
2,100,-1,0.029125
2,100,-1,0.027913
2,100,-1,0.020638
2,100,-1,0.021225
2,100,-1,0.025637
2,100,-1,0.026338
2,110,-1,0.019663
2,110,-1,0.027537
2,110,-1,0.018488
2,110,-1,0.022476
2,110,-1,0.0272
2,110,-1,0.024763
2,110,-1,0.025076
2,110,-1,0.02715
2,110,-1,0.024451
2,110,-1,0.03325
2,110,-1,0.027238
2,110,-1,0.035814
2,110,-1,0.020913
2,110,-1,0.028988
2,110,-1,0.040126
2,110,-1,0.02815
2,110,-1,0.021775
2,110,-1,0.019625
2,110,-1,0.026413
2,110,-1,0.020325
2,120,-1,0.020038
2,120,-1,0.026701
2,120,-1,0.026488
2,120,-1,0.022763
2,120,-1,0.018238
2,120,-1,0.024563
2,120,-1,0.01815
2,120,-1,0.017925
2,120,-1,0.025463
2,120,-1,0.024087
2,120,-1,0.017637
2,120,-1,0.0179
2,120,-1,0.024762
2,120,-1,0.024663
2,120,-1,0.024875
2,120,-1,0.025013
2,120,-1,0.0253
2,120,-1,0.024375
2,120,-1,0.017788
2,120,-1,0.0253
2,130,-1,0.017638
2,130,-1,0.021975
2,130,-1,0.021776
2,130,-1,0.030613
2,130,-1,0.023962
2,130,-1,0.029963
2,130,-1,0.026663
2,130,-1,0.018225
2,130,-1,0.020275
2,130,-1,0.022413
2,130,-1,0.028226
2,130,-1,0.028913
2,130,-1,0.022538
2,130,-1,0.028576
2,130,-1,0.019175
2,130,-1,0.108365
2,130,-1,0.027463
2,130,-1,0.031438
2,130,-1,0.020363
2,130,-1,0.022338
2,140,-1,0.022638
2,140,-1,0.026563
2,140,-1,0.032125
2,140,-1,0.023738
2,140,-1,0.0192
2,140,-1,0.024788
2,140,-1,0.030438
2,140,-1,0.023588
2,140,-1,0.01945
2,140,-1,0.029001
2,140,-1,0.019563
2,140,-1,0.032438
2,140,-1,0.028488
2,140,-1,0.029451
2,140,-1,0.033363
2,140,-1,0.022687
2,140,-1,0.0268
2,140,-1,0.028825
2,140,-1,0.040763
2,140,-1,0.028313
2,150,-1,0.018975
2,150,-1,0.018462
2,150,-1,0.032313
2,150,-1,0.034651
2,150,-1,0.030476
2,150,-1,0.027313
2,150,-1,0.027938
2,150,-1,0.0217
2,150,-1,0.021788
2,150,-1,0.017737
2,150,-1,0.017901
2,150,-1,0.02645
2,150,-1,0.028501
2,150,-1,0.029363
2,150,-1,0.017613
2,150,-1,0.029475
2,150,-1,0.031575
2,150,-1,0.025675
2,150,-1,0.024813
2,150,-1,0.020163
2,160,-1,0.025938
2,160,-1,0.039888
2,160,-1,0.024863
2,160,-1,0.027425
2,160,-1,0.029913
2,160,-1,0.017613
2,160,-1,0.024601
2,160,-1,0.409569
2,160,-1,0.0235
2,160,-1,0.027438
2,160,-1,0.0247
2,160,-1,0.024776
2,160,-1,0.027963
2,160,-1,0.028275
2,160,-1,0.031488
2,160,-1,0.019388
2,160,-1,0.020838
2,160,-1,0.028413
2,160,-1,0.023713
2,160,-1,0.02115
2,170,-1,0.022288
2,170,-1,0.02785
2,170,-1,0.026863
2,170,-1,0.024812
2,170,-1,0.01755
2,170,-1,0.019525
2,170,-1,0.026288
2,170,-1,0.025876
2,170,-1,0.02455
2,170,-1,0.030076
2,170,-1,0.031225
2,170,-1,0.024476
2,170,-1,0.020312
2,170,-1,0.020775
2,170,-1,0.021126
2,170,-1,0.024575
2,170,-1,0.032225
