n,V,resultado,tiempo (programaciondinamica)
12,20,2,0.09627585
12,30,1,0.15718
12,40,2,0.1996739
12,50,2,0.18247115
12,60,1,0.17058815
12,70,3,0.4256751
12,80,1,0.2507966
12,90,2,0.16681895
12,100,1,0.12300695
12,110,-1,0.26826475
12,120,1,0.376085
12,130,2,0.23950395
12,140,2,0.24201195
12,150,4,0.8817442
12,160,4,0.6553207
12,170,-1,0.2439395
12,180,3,0.7674099
12,190,-1,0.41137375
12,200,2,0.2646067
13,10,1,0.09955405
13,20,2,0.13203645
13,30,2,0.18803925
13,40,2,0.24753635
13,50,2,0.224653
13,60,1,0.24729915
13,70,2,0.50334825
13,80,1,0.21449655
13,90,-1,0.30458545
13,100,3,0.47324255
13,110,1,0.1567513
13,120,3,0.5607435
13,130,2,0.20808905
13,140,3,0.34978175
13,150,4,0.4180449
13,160,1,0.48376045
13,170,3,0.4589698
13,180,3,0.5912077
13,190,3,0.36531805
13,200,2,0.4706975
14,10,1,0.09474705
14,20,2,0.1806004
14,30,2,0.2343657
14,40,2,0.2990157
14,50,1,0.19080995
14,60,2,0.40695665
14,70,3,0.3125011
14,80,3,0.4168528
14,90,3,0.62679895
14,100,2,0.5467662
14,110,-1,0.2293843
14,120,2,0.16704335
14,130,2,0.18285675
14,140,2,0.42720965
14,150,3,0.56637595
14,160,2,0.26754065
14,170,3,0.40743295
14,180,3,0.5794786
14,190,3,0.553495
14,200,3,0.42784755
15,10,2,0.12048135
15,20,1,0.19295565
15,30,2,0.22200675
15,40,1,0.2764733
15,50,2,0.50774235
15,60,2,0.3246491
15,70,2,0.2455833
15,80,2,0.44409155
15,90,3,0.30354235
15,100,1,0.3109269
15,110,2,0.3013173
15,120,2,0.36775025
15,130,2,0.3957143
15,140,2,0.4890605
15,150,2,0.3932369
15,160,-1,0.32381695
15,170,2,0.67980665
15,180,2,0.25450345
15,190,-1,0.4771206
15,200,2,0.5065543
16,10,1,0.12999465
16,20,2,0.16303445
16,30,1,0.1616258
16,40,3,0.68731755
16,50,2,0.44679695
16,60,2,0.2178136
16,70,1,0.49056535
16,80,1,0.94647875
16,90,2,0.47269575
16,100,2,0.627048
16,110,3,0.3538402
16,120,1,0.58110255
16,130,2,0.7628312
16,140,-1,0.43194565
16,150,2,0.3024312
16,160,2,0.29509475
16,170,2,0.62382
16,180,1,1.06607805
16,190,2,0.2300679
