n,V,resultado,tiempo (fuerzabruta)
12,50,3,32.68217
12,60,2,41.09012
12,70,1,31.0875
12,80,2,29.685925
12,90,-1,31.01392
12,100,-1,31.18714
12,110,3,28.584245
12,120,3,31.79157
12,130,2,29.789135
12,140,3,31.350535
12,150,3,32.36156
12,160,4,32.096915
12,170,4,33.279345
12,180,2,33.187165
12,190,4,29.202995
12,200,-1,32.145635
13,10,1,66.69951
13,20,2,67.34661
13,30,2,60.6075
13,40,2,74.855205
13,50,2,68.91461
13,60,2,68.49243
13,70,2,58.20881
13,80,2,61.597785
13,90,1,67.757465
13,100,1,62.164705
13,110,3,71.414075
13,120,2,60.60722
13,130,2,61.498485
13,140,3,71.09478
13,150,3,73.72277
13,160,4,67.03447
13,170,-1,71.09619
13,180,3,61.296635
13,190,3,74.65278
13,200,2,62.57415
14,10,1,151.5562
14,20,1,149.45125
14,30,2,164.29055
14,40,2,149.53955
14,50,3,157.4566
14,60,1,162.62715
14,70,2,184.9128
14,80,2,157.76305
14,90,3,158.02975
14,100,2,167.5563
14,110,2,144.76625
14,120,3,138.50435
14,130,3,147.07365
14,140,3,146.7867
14,150,2,150.7966
14,160,2,171.46015
14,170,-1,133.1762
14,180,3,141.71105
14,190,-1,147.72295
14,200,3,143.25995
15,10,1,257.7553
15,20,2,199.51935
15,30,2,201.13875
15,40,2,201.41205
15,50,2,199.71065
15,60,2,206.8122
15,70,-1,205.08505
15,80,1,208.69185
15,90,3,200.07045
15,100,-1,202.2626
15,110,1,201.99565
15,120,2,204.7721
15,130,2,201.253
15,140,3,201.9135
15,150,2,204.7651
15,160,1,204.1995
15,170,3,202.3967
15,180,-1,202.68395
15,190,2,202.19925
15,200,2,202.7754
16,10,1,415.64055
16,20,2,419.63935
16,30,2,424.28685
16,40,2,421.19725
16,50,2,427.47345
16,60,3,424.62295
16,70,2,415.686
16,80,2,420.5734
16,90,2,419.90445
16,100,2,418.3377
16,110,1,415.8816
16,120,2,414.85125
16,130,2,420.15695
16,140,3,422.66505
16,150,2,420.0557
16,160,1,422.03955
16,170,3,421.81425
16,180,2,418.8223
16,190,2,418.2674
16,200,2,420.51995
17,10,1,870.8852
17,20,2,865.81085
17,30,2,861.25775
17,40,2,862.38795
17,50,1,861.15515
17,60,1,865.84595
17,70,2,861.4093
17,80,1,864.56725
17,90,2,861.06635
17,100,1,860.6969
17,110,2,866.6755
17,120,3,862.4025
17,130,2,868.15915
17,140,2,869.1212
17,150,2,867.6153
17,160,2,861.30335
17,170,3,862.31345
17,180,2,861.07985
17,190,3,859.41765
17,200,3,877.04975
18,10,1,1801.078
18,20,2,1791.6895
18,30,1,1802.3165
18,40,2,1815.593
18,50,2,1805.5655
18,60,2,1815.0245
18,70,2,1791.603
18,80,3,1803.16
18,90,2,1800.075
18,100,3,1804.5795
18,110,2,1798.5095
18,120,3,1806.8445
18,130,3,1792.7055
18,140,2,1796.539
18,150,2,1797.666
18,160,2,1796.9265
18,170,-1,1797.346
18,180,3,1799.4715
18,190,2,1809.171
18,200,3,1812.4415
19,10,1,3736.236
19,20,2,3734.472
19,30,1,3747.555
19,40,2,3772.2575
19,50,2,3773.84
19,60,1,4002.727
19,70,3,4669.795
19,80,3,4238.179
19,90,2,3873.2345
19,100,3,3861.6875
